"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6,U5,U8,U2,U10,U4,U11,U9,U7,U3,U12,U1";"LED_WS2812-2020";12;"WS2812-2020";;;
2;"C4,C5,C6,C2,C3,C1";"C_0603_1608Metric";6;"100n";;;
3;"SW1";"SW_SPST_B3U-1000P";1;"LIFT";;;
4;"SW5";"SW_SPST_B3U-1000P";1;"DROP";;;
5;"C7";"C_0603_1608Metric";1;"50p";;;
6;"SW4";"SW_SPST_B3U-1000P";1;"TRIGGER";;;
7;"SW3";"SW_SPST_B3U-1000P";1;"REVERSE";;;
8;"SW2";"SW_SPST_B3U-1000P";1;"LOW";;;
9;"SW6";"SW_SPST_B3U-1000P";1;"HIGH";;;
10;"kibuzzard-6108471A";"kibuzzard-6108471A";1;"G***";;;
11;"TP9";"TestPoint_Pad_D1.5mm";1;"+5V";;;
12;"kibuzzard-610846A8";"kibuzzard-610846A8";1;"G***";;;
13;"kibuzzard-610846B1";"kibuzzard-610846B1";1;"G***";;;
14;"kibuzzard-61084691";"kibuzzard-61084691";1;"G***";;;
15;"kibuzzard-610845ED";"kibuzzard-610845ED";1;"G***";;;
16;"TP3";"TestPoint_Pad_D1.5mm";1;"LOW";;;
17;"kibuzzard-6108463B";"kibuzzard-6108463B";1;"G***";;;
18;"kibuzzard-61084618";"kibuzzard-61084618";1;"G***";;;
19;"J1";"BM10B-SRSS-TB(LF)(SN)";1;"BM10B-SRSS-TB(LF)(SN)";;;
20;"kibuzzard-61084704";"kibuzzard-61084704";1;"G***";;;
21;"kibuzzard-61084660";"kibuzzard-61084660";1;"G***";;;
22;"kibuzzard-61084764";"kibuzzard-61084764";1;"G***";;;
23;"kibuzzard-610845E2";"kibuzzard-610845E2";1;"G***";;;
24;"kibuzzard-6108460F";"kibuzzard-6108460F";1;"G***";;;
25;"TP4";"TestPoint_Pad_D1.5mm";1;"DROP";;;
26;"TP2";"TestPoint_Pad_D1.5mm";1;"LIFT";;;
27;"TP7";"TestPoint_Pad_D1.5mm";1;"TRIGGER";;;
28;"TP5";"TestPoint_Pad_D1.5mm";1;"REVERSE";;;
29;"TP1";"TestPoint_Pad_D1.5mm";1;"GND";;;
30;"TP8";"TestPoint_Pad_D1.5mm";1;"LED DATA";;;
31;"TP10";"TestPoint_Pad_D1.5mm";1;"3v3";;;
32;"TP6";"TestPoint_Pad_D1.5mm";1;"HIGH";;;
33;"kibuzzard-61084595";"kibuzzard-61084595";1;"G***";;;
