Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",58.270391,-53.280561,0.000000,top
"C1","100n","C_0603_1608Metric",58.270391,-103.580569,0.000000,top
"C2","100n","C_0603_1608Metric",41.709591,-91.083769,0.000000,top
"C2","100n","C_0603_1608Metric",41.709591,-40.783761,0.000000,top
"C3","100n","C_0603_1608Metric",58.244991,-91.109169,0.000000,top
"C3","100n","C_0603_1608Metric",58.244991,-40.809161,0.000000,top
"C4","100n","C_0603_1608Metric",41.709591,-103.631369,0.000000,top
"C4","100n","C_0603_1608Metric",41.709591,-53.331361,0.000000,top
"C5","100n","C_0603_1608Metric",58.244991,-65.802761,0.000000,top
"C5","100n","C_0603_1608Metric",58.244991,-116.102769,0.000000,top
"C6","100n","C_0603_1608Metric",41.709591,-116.102769,0.000000,top
"C6","100n","C_0603_1608Metric",41.709591,-65.802761,0.000000,top
"C7","50p","C_0603_1608Metric",41.760391,-84.479769,0.000000,top
"C7","50p","C_0603_1608Metric",41.760391,-34.179761,0.000000,top
"REF**","NPTH","NPTH",67.998994,-99.357147,0.000000,top
"REF**","NPTH","NPTH",67.998994,-98.728575,0.000000,top
"REF**","NPTH","NPTH",28.401878,-25.850996,0.000000,top
"REF**","NPTH","NPTH",72.198221,-124.449005,0.000000,top
"REF**","NPTH","NPTH",71.598110,-124.449005,0.000000,top
"REF**","NPTH","NPTH",68.199001,-130.850670,0.000000,top
"REF**","NPTH","NPTH",67.998994,-99.985718,0.000000,top
"REF**","NPTH","NPTH",31.800990,-19.449329,0.000000,top
"REF**","NPTH","NPTH",67.998995,-50.314282,0.000000,top
"REF**","NPTH","NPTH",24.801212,-124.449005,0.000000,top
"REF**","NPTH","NPTH",68.199001,-20.649551,0.000000,top
"REF**","NPTH","NPTH",67.998995,-101.871433,0.000000,top
"REF**","NPTH","NPTH",68.199001,-130.250559,0.000000,top
"REF**","NPTH","NPTH",31.800990,-20.049440,0.000000,top
"REF**","NPTH","NPTH",24.201101,-25.850996,0.000000,top
"REF**","NPTH","NPTH",74.598665,-25.850996,0.000000,top
"REF**","NPTH","NPTH",67.998994,-47.799996,0.000000,top
"REF**","NPTH","NPTH",27.801767,-124.449005,0.000000,top
"REF**","NPTH","NPTH",32.000995,-49.685710,0.000000,top
"REF**","NPTH","NPTH",26.001434,-25.850996,0.000000,top
"REF**","NPTH","NPTH",24.801212,-25.850996,0.000000,top
"REF**","NPTH","NPTH",27.801767,-25.850996,0.000000,top
"REF**","NPTH","NPTH",32.000994,-50.942853,0.000000,top
"REF**","NPTH","NPTH",31.800990,-18.849218,0.000000,top
"REF**","NPTH","NPTH",75.198776,-124.449005,0.000000,top
"REF**","NPTH","NPTH",68.199001,-129.050337,0.000000,top
"REF**","NPTH","NPTH",25.401323,-124.449005,0.000000,top
"REF**","NPTH","NPTH",68.199001,-21.249662,0.000000,top
