Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100N","0603C",90.195400,-89.916000,0.000000,top
"C2","100N","0603C",73.634600,-77.419200,0.000000,top
"C3","100N","0603C",90.170000,-77.444600,0.000000,top
"C4","100N","0603C",73.634600,-89.966800,0.000000,top
"C5","100N","0603C",90.170000,-102.438200,0.000000,top
"C6","100N","0603C",73.634600,-102.438200,0.000000,top
"C7","50P","0603C",73.685400,-70.815200,0.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",66.000000,-105.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",66.000000,-68.500000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",97.800000,-68.500000,0.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",97.800000,-105.000000,0.000000,top
"J1","SM10B-SRSS-TB","SM10B",81.635600,-64.058800,180.000000,top
"SW1","B3U-1000P","SW_SPST_B3U-1000P",73.660000,-74.117200,90.000000,top
"SW2","B3U-1000P","SW_SPST_B3U-1000P",73.660000,-86.639400,90.000000,top
"SW3","B3U-1000P","SW_SPST_B3U-1000P",73.685400,-99.136200,90.000000,top
"SW4","B3U-1000P","SW_SPST_B3U-1000P",90.170000,-99.136200,90.000000,top
"SW5","B3U-1000P","SW_SPST_B3U-1000P",90.170000,-74.142600,90.000000,top
"SW6","B3U-1000P","SW_SPST_B3U-1000P",90.170000,-86.614000,90.000000,top
"U1","WS2812B-2020","LED_WS2812-2020",69.342000,-74.168000,90.000000,top
"U2","WS2812B-2020","LED_WS2812-2020",69.215000,-86.651522,90.000000,top
"U3","WS2812B-2020","LED_WS2812-2020",69.215000,-99.060000,90.000000,top
"U4","WS2812B-2020","LED_WS2812-2020",78.105000,-74.130478,90.000000,top
"U5","WS2812B-2020","LED_WS2812-2020",78.105000,-86.614000,90.000000,top
"U6","WS2812B-2020","LED_WS2812-2020",78.105000,-99.187000,90.000000,top
"U7","WS2812B-2020","LED_WS2812-2020",85.852000,-74.041000,90.000000,top
"U8","WS2812B-2020","LED_WS2812-2020",85.852000,-86.614000,90.000000,top
"U9","WS2812B-2020","LED_WS2812-2020",85.852000,-99.060000,90.000000,top
"U10","WS2812B-2020","LED_WS2812-2020",94.615000,-74.041000,90.000000,top
"U11","WS2812B-2020","LED_WS2812-2020",94.742000,-86.487000,90.000000,top
"U12","WS2812B-2020","LED_WS2812-2020",94.615000,-99.060000,90.000000,top
